,title,links,song_lyric,artist
169,let it will be,http://www.lyrics.com/lyric/27964676/Madonna/Let+It+Will+Be,NaN,1
170,forbidden love,http://www.lyrics.com/lyric/27964675/Madonna/Forbidden+Love,NaN,1
171,jump,http://www.lyrics.com/lyric/27964674/Madonna/Jump,NaN,1
172,how high,http://www.lyrics.com/lyric/27964673/Madonna/How+High,NaN,1
173,isaac,http://www.lyrics.com/lyric/27964672/Madonna/Isaac,NaN,1
174,push,http://www.lyrics.com/lyric/27964671/Madonna/Push,NaN,1
175,like it or not,http://www.lyrics.com/lyric/27964670/Madonna/Like+It+or+Not,NaN,1
176,american pie,http://www.lyrics.com/lyric/28998331/Madonna/American+Pie,NaN,1
177,borderline,http://www.lyrics.com/lyric/26022452/Madonna/Borderline,NaN,1
178,i know it,http://www.lyrics.com/lyric/26022450/Madonna/I+Know+It,NaN,1
179,think of me,http://www.lyrics.com/lyric/26022448/Madonna/Think+of+Me,NaN,1
180,physical attraction,http://www.lyrics.com/lyric/26022447/Madonna/Physical+Attraction,NaN,1
181,everybody,http://www.lyrics.com/lyric/26022446/Madonna/Everybody,NaN,1
182,lucky star ,http://www.lyrics.com/lyric/26022444/Madonna/Lucky+Star+%5B%22New%22+Mix%5D+%5B%2A%5D,NaN,1
183,angel,http://www.lyrics.com/lyric/26022442/Madonna/Angel,NaN,1
184,love don't live here anymore,http://www.lyrics.com/lyric/26022439/Madonna/Love+Don%27t+Live+Here+Anymore,NaN,1
185,dress you up,http://www.lyrics.com/lyric/26022438/Madonna/Dress+You+Up,NaN,1
186,shoo-bee-doo,http://www.lyrics.com/lyric/26022437/Madonna/Shoo-Bee-Doo,NaN,1
187,pretender,http://www.lyrics.com/lyric/26022436/Madonna/Pretender,NaN,1
188,stay,http://www.lyrics.com/lyric/26022435/Madonna/Stay,NaN,1
189,erotica,http://www.lyrics.com/lyric/26022410/Madonna/Erotica,NaN,1
190,deeper and deeper,http://www.lyrics.com/lyric/26022407/Madonna/Deeper+and+Deeper,NaN,1
191,where life begins,http://www.lyrics.com/lyric/26022406/Madonna/Where+Life+Begins,NaN,1
192,waiting,http://www.lyrics.com/lyric/26022404/Madonna/Waiting,NaN,1
